Name,Origin,ABV,Type,Type1,Sort,,
Corona Extra,Mexico,4.5,Світле,Фільтроване,pale lager,,4.5
Leffe blanc,Belgium,6.6,Світле,Фільтроване,abbey,,6.6
Kronenbourg,France,4.8,Світле,Нефільтроване,blanche,,4.8
Guinness Draught,Ireland,4.1,Темне,Фільтроване,stout,,4.1
Staropramen,Czech Republic,4.2,Світле,Фільтроване,pilsner,,4.2
Heineken,Netherlands,5.0,Світле,Фільтроване,lager,,
Grimbergen blanche,Belgium,6.0,Світле,Фільтроване,blanche,,
Grimbergen double ambree,Belgium,6.5,Напівтемне,Фільтроване,ale,,
Stella Artois,Belgium,5.0,Світле,Фільтроване,lager,,
Львівське Різдвяне ,Україна,4.4,Темне,Фільтроване,lager,,
Львівське 1715,Україна,4.5,Світле,Фільтроване,lager,,
Carlsberg,Denmark,5.0,Світле,Фільтроване,lager,,
Hoegaarden,Belgium,4.9,Світле,Нефільтроване,witbier,,
ППБ Бочкове світле,Україна,4.8,Світле,Нефільтроване,lager,,
Арсенал,Україна,8.0,Світле,Фільтроване,lager,,
Kozel cerny,Czech Republic,3.7,Темне,Фільтроване,lager,,
Kozel svetly,Czech Republic,4.0, Світле,Фільтроване,lager,,
Leffe Brune,Belgium,6.3,Темне,Фільтроване,abbey,,
 Опілля Корифеї,Україна,4.2,Світле,Фільтроване,lager,,
Тетерів Вишневий ,Україна,8.0,Напівтемне,Фільтроване,radler,,